#RESOURCE=yCat_120590137
#Name: J/AcA/59/137
#Title: ASAS Galactic fundamental mode RR Lyrae stars (Szczygiel+, 2009)
#Table	J_AcA_59_137_table1:
#Name: J/AcA/59/137/table1
#Title: Fourier parameters for 1423 ASAS RRab stars
#Column	a0	(F9.6)	a0 Fourier parameter	[ucd=stat.fit.param]
#Column	a1	(F9.6)	a1 Fourier parameter	[ucd=stat.fit.param]
#Column	phi1	(F9.6)	{phi}1 Fourier parameter	[ucd=stat.fit.param]
#Column	a2	(F9.6)	a2 Fourier parameter	[ucd=stat.fit.param]
#Column	phi2	(F9.6)	{phi}2 Fourier parameter	[ucd=stat.fit.param]
#Column	a3	(F9.6)	a3 Fourier parameter	[ucd=stat.fit.param]
#Column	phi3	(F9.6)	{phi}3 Fourier parameter	[ucd=stat.fit.param]
#Column	a4	(F9.6)	a4 Fourier parameter	[ucd=stat.fit.param]
#Column	phi4	(F9.6)	{phi}4 Fourier parameter	[ucd=stat.fit.param]
#Column	a5	(F9.6)	a5 Fourier parameter	[ucd=stat.fit.param]
#Column	phi5	(F9.6)	{phi}5 Fourier parameter	[ucd=stat.fit.param]
#Column	a6	(F9.6)	a6 Fourier parameter	[ucd=stat.fit.param]
#Column	phi6	(F9.6)	{phi}6 Fourier parameter	[ucd=stat.fit.param]
#a0	a1	phi1	a2	phi2	a3	phi3	a4	phi4	a5	phi5	a6	phi6
#mag	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad
#---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------
13.492554	-0.287579	 0.889345	 0.140115	 4.379392	-0.076698	 1.879763	 0.036958	 5.613320	-0.022369	 2.213158	 0.014127	 1.218108
13.486097	-0.276283	 0.981508	 0.152952	 4.483503	 0.102047	 5.281409	 0.028871	 6.102497	 0.016345	 1.373063	 0.003979	 1.975772
12.708888	 0.210720	 4.130977	-0.085403	 1.385182	 0.054446	 5.144627	 0.029062	 6.043015	 0.015031	 1.019470	-0.005704	 5.472974
13.484226	 0.057280	 0.601680	-0.016504	 1.171651	 0.004909	 0.459370	 0.014464	 1.894081	 0.020104	 0.534140	-0.014751	 1.536127
13.333232	-0.354076	 0.797945	-0.181596	 0.849763	-0.133637	 1.196892	-0.072579	 1.831982	 0.060944	 5.144498	-0.017382	 2.771076
13.581585	 0.299149	 4.295315	 0.130341	 4.548459	 0.057432	 5.008834	-0.031208	 1.759003	-0.024890	 1.767812	-0.001638	 5.045692
14.397238	 0.369439	 4.262582	-0.170094	 1.126030	-0.110174	 1.674355	-0.072436	 1.706614	-0.007802	 4.923712	 0.054109	 6.207380
13.873141	 0.335259	 4.141183	 0.174704	 3.893686	 0.136031	 4.391282	-0.061090	 0.557781	 0.109263	 4.898466	-0.061748	 3.099752
13.117342	 0.303694	 4.293133	 0.159207	 4.524768	 0.091961	 5.269553	 0.064302	 4.986948	 0.013904	 5.893731	-0.019916	 5.697060
12.213087	-0.416476	 0.811994	-0.212986	 0.807869	-0.152263	 1.195939	 0.092015	 4.646717	-0.073733	 1.983729	 0.047937	 5.270923
14.208799	 0.370580	 4.010979	 0.077348	 4.648014	-0.062951	 5.741823	 0.082132	 3.892964	-0.122704	 1.224472	 0.067469	 6.108989
12.908898	 0.362579	 4.068266	 0.153505	 4.112918	 0.132737	 4.429911	-0.085183	 1.713480	 0.056114	 5.374280	-0.040721	 2.677237
13.568696	 0.354433	 4.156869	-0.161699	 1.166147	 0.082639	 4.996979	 0.030144	 5.467837	-0.006134	 2.036917	 0.005951	 5.708831
14.098512	 0.229544	 4.196392	 0.122269	 4.420219	-0.097614	 1.591323	 0.067598	 5.809520	-0.012526	 1.133371	 0.027502	 5.638074
13.065822	-0.426817	 0.771582	-0.198398	 0.647870	-0.159541	 0.889835	 0.096469	 4.296604	-0.080115	 1.318961	-0.043526	 1.660109
12.479463	 0.269089	 4.077594	-0.108252	 1.212681	 0.077260	 5.241699	 0.029059	 5.659800	 0.028312	 0.597806	 0.009497	 0.696909
11.493339	 0.398648	 3.905044	-0.213170	 0.912947	-0.129163	 1.231642	-0.084194	 1.864586	-0.038919	 2.210011	 0.025542	 5.306478
13.582128	 0.361177	 4.041873	 0.184336	 4.163214	-0.114418	 1.388649	-0.060123	 1.557073	-0.050205	 1.863429	 0.038003	 5.735609
13.167514	 0.444048	 4.037709	-0.196722	 0.826211	 0.150028	 4.344095	-0.092043	 1.365642	 0.074927	 4.873381	-0.060961	 2.234341
11.704208	 0.380802	 4.064533	 0.165336	 4.213014	-0.080900	 1.543802	-0.051122	 1.890464	 0.031822	 5.670454	 0.014390	 6.024498
12.931677	 0.339370	 4.063303	-0.131356	 0.914983	 0.107397	 4.482863	-0.052720	 1.813687	-0.036665	 2.587687	 0.003344	 1.258271
14.048370	 0.271773	 4.184479	 0.100849	 4.069553	-0.086588	 1.213443	-0.042326	 2.011111	-0.032789	 1.750348	 0.012254	 5.686804
14.140346	 0.240543	 4.124708	 0.135630	 4.703512	 0.071646	 5.670832	-0.038954	 4.118254	 0.020477	 0.990492	-0.010626	 1.017372
14.107908	-0.252448	 0.999933	 0.151589	 5.140569	-0.063233	 1.698483	 0.090986	 0.551576	-0.031234	 1.961721	-0.048028	 0.419373
14.240850	 0.295774	 4.119165	-0.147242	 0.806076	-0.124001	 1.218527	 0.056232	 5.528461	-0.075118	 1.034248	 0.043070	 5.589368
12.498971	-0.395323	 0.818915	-0.174081	 0.800253	 0.119480	 4.209178	-0.072069	 1.282969	-0.059796	 1.671767	 0.039675	 5.175985
13.233724	 0.376796	 4.258210	 0.133178	 4.404032	 0.069295	 4.881657	 0.023157	 5.162396	-0.007181	 0.448039	-0.002572	 2.003512
12.895479	 0.161784	 4.296416	-0.058677	 1.660986	 0.030016	 5.915912	 0.006697	 1.261143	-0.006639	 1.558314	-0.002429	 1.816929
14.395484	 0.286906	 4.136975	-0.203494	 1.328832	-0.105935	 1.955963	 0.049208	 5.881945	 0.021343	 0.637269	 0.033789	 5.314955
13.794078	 0.340280	 3.981629	-0.171053	 1.074539	-0.110455	 1.481393	-0.077970	 2.035375	 0.049163	 5.567065	 0.034869	 0.565481
13.628818	 0.390166	 4.200857	 0.211005	 4.039558	 0.125191	 4.781607	-0.072335	 1.248476	-0.076131	 2.428941	 0.074269	 0.411296
13.285769	 0.425022	 4.066096	 0.189333	 4.046057	 0.139025	 4.304738	 0.093468	 4.613565	 0.068395	 5.205948	-0.038108	 2.364657
14.289259	 0.382422	 4.764784	-0.161224	 2.595105	 0.048049	 1.599505	 0.009146	 0.944636	-0.025818	 0.420427	 0.070225	 5.269584
11.110910	-0.446361	 0.861223	-0.224024	 0.874564	-0.139698	 1.309103	 0.090423	 4.724225	 0.059648	 5.286969	 0.034176	 5.532455
